,分数,影评
2384,还行,"以中国最具象征过去与未来的春节串联起十个年头，不像去年火遍朋友圈的前任3那么华丽，从朴实和平凡的视角描述爱情。 似风雨泥土，如夏秋荣枯，不悲不喜。 不过还是没能摆脱爱情片的俗套跟作： “我已经努力变成你想要的样子了🤷🏻♂️ 可我已经不是当初的样子了😶” ...

                         (展开)"
2385,力荐,"初衷是因为后来这首歌，但昨天去看了以后并没有被催泪...唯一有泪点的地方是林见清爸爸给小晓低头写信和画外音的时候,不过也只是泪水打转一圈没有流下来。 在我的理解里不是有妇之夫和前任小三的毁三观，而是他们还爱着也都不能放下，但彼此接受和释然...因为知道...也因为没有...

                         (展开)"
2386,还行,"开始不理解为什么现在的时间线是黑白的，后来发现，黑白不是根据时间划分，而是伊恩没有了凯莉，他的世界将再也没有色彩，乍一听好像很痴情。可是，伊恩老婆：那我呢？ 凯莉那些与留在北京有关的前男友们，伊恩那套第一桶金的房子，留在北京，成为了又一个美国梦。 后来我们什...

                         (展开)"
2387,推荐,"今天刚刚看完这部片子，讲道理比期待的要好很多，作为第一次当导演的刘若英我觉得这部片子真的应该值得鼓励。虽然在剧情和人物设定上面有很多诟病，很多用的烂俗的老梗，很多矫情而又扯淡的鸡汤。但抛开这一切，虽然我没有过北漂的经历，但这部片子仍然有很多片段打动了我。我...

                         (展开)"
2388,力荐,"找了个偏僻的影院一个人看。我一个没有故事的女同学看了竟然也落泪了。泪点：见清抱着儿子哭的时候。见清跟小晓在车里破涕而笑的时候。林爸爸写的信。见清查看银行存款余额的时候……简而言之井柏然哭的时候我就想哭，真的是演出来心酸的感觉。还有见清在查看自己银行余额的时...

                         (展开)"
2389,还行,"这篇影评可能有剧透

                        如果见清那天没有捡起小晓那张票 如果没有如果 后来的他们会怎样 识于一场偶然，因为相同的境遇渐渐靠近 周冬雨饰演的方小晓天真善良，却因为父亲的去世，母亲的离开，缺少一份安全感。所以在开始的几年里总是经历失败的感情，另一方总是是在物质上的富有，她却忽视了她是否真...

                         (展开)"
2390,很差,"挺喜欢最后的结局见清和小晓的再见 这才是算是真正的以后得各自安好吧 黑白的画面和伊恩和凯丽那个前段呼应起来（这种剧情真的很老套） 两人的回忆穿插真个剧情，前面几年讲了很多，后面的感觉像是潦草的带过而已 这部电影或许只有那些真正在大城市一起打拼的情侣才会有深深的...

                         (展开)"
2391,推荐,"我就想问有多少人是冲着“后来，我总算学会了，如何去爱，可惜你早已远去，消失在人海”去看的电影，又有多少人都是有着“后来”的故事，这么巧，我也有。那会在一起的时候，我常问他，你都如何回忆我，带着笑或很沉默，他总是说我逗比，说肯定是笑啊。分手那会我又重新问了他...

                         (展开)"
2392,很差,"不喜勿喷，真的不喜欢这种剧，可能我还没到那个年龄，体会不到那些复杂的感情。真的搞不懂这么矫情的片子都是哪里的市场。 无论前任三还是后来，都讨厌那种矫情，爱就是爱，什么生活所迫，乱七八糟的，在现代，还能饿死人吗，不愿意为对方退步 ，以我想要的不是这样的生活等等...

                         (展开)"
2393,力荐,"冲着井柏然去看的，个人觉得高级的煽情是需要体现在细节让观众自己感悟的!显然这片没有做到，很多鸡汤也是直接就从男女主口中说出来了。比如后来的我们什么都有了，却没有了我们。我个人不太喜欢这点，不过整体还是能看，特别是黑白的梗让我一震。拉着朋友去的，结果朋友哭的稀...

                         (展开)"
2394,力荐,"这篇影评可能有剧透

                        我们并没有伟大的梦想，只想可以平平凡凡过着幸福生活，希望有一套爱的房子，只是后来的我们没有了我们，十年后再相遇你已另觅良人，我总算可以大大方方的对你说一声再见。从2006到2018，12年的跨度，值得推敲的细节，从按键机、游戏盘、当年的畅游与中关村，还有曾经的春晚也...

                         (展开)"
2395,力荐,"刚看完，我感觉这部电影想要表达的很多，但是又没有说出来，也是，说出来就没意思了，就像电影里的歌词，该说的，别说了。但是我的感触还是要说出来，怕忘了，方小晓爱上林见清以前想要的生活就是大房子，爱上林之后才真正体会到幸福不是大房子，所以她想要的变了，说到底还是...

                         (展开)"
2396,力荐,"看到大家都说矫情，应该说是只有某一段重逢的对话有点文绉绉，出戏尴尬，其他的，其实真的一点都不突兀，至少我和孩爸从电影院出来后感觉很微妙，然后他说，看完这部电影我有个感觉，我问什么感觉，他说[现在的一切，自己的一切选择都是对的，现在挺好的]可能是因为也经历过和...

                         (展开)"
2397,很差,"这篇影评可能有剧透

                        上九天揽月 下五洋捉鳖 我可去你大爷的吧…… 林清见（还是林见清）简直可以直接进八组被鹅评为最渣男主了好伐……女友跟你说分手你特么的的就分，还舔着脸问女友为啥不从地铁上下来，我反手就是一个巴掌，你老人家怎么不上地铁把她拉下来……你这时候要尊严了要装逼了……不要...

                         (展开)"
2398,还行,"这篇影评可能有剧透

                        刘若英那种典型琼瑶剪不断理还乱的小情怀强行安到北方人身上，不伦不类。不客观的说，男女主的感情非常矫情，那么爱，却要离开，再见，也就是再见。有些觉得浪费了点时间，和看前任三的感觉很类似。一部电影，是给很多人看的，如果其中没有什么价值，那么也就没有传播的必要。 ...

                         (展开)"
2399,力荐,"这篇影评可能有剧透

                        整部电影最后的结局，让我只想到一句歌词，“我们一直忘了要搭一座桥，到对方心底瞧一瞧” ，她走的时候说，我们以后别再见面了，他却带着耳机什么也没听到，等到追去地铁站，却怂的一句挽留都没有。等到最后事业有成时说，你不是要房子吗，我在北京买房了，她说我要的是一个家...

                         (展开)"
2400,推荐,"这篇影评可能有剧透

                        这两天有没有被这部电影刷屏？ 如果我没记错，这是唯一一部选择去电影院看的爱情文艺片。现场有很多小情侣、还有带小孩子去看的，也有些是一个人的，散场以后有些情侣由刚开始的哈哈大笑变得沉默了，而带小朋友去的全场闹个不停，完了来一句看不懂……坐我旁边的是一位小姐姐，...

                         (展开)"
2401,很差,"陪souler看的。故事的开始。。emmm习惯性的开场白。但是我却不记得故事的开始了。 这也算为我对这部影片的评价定下一个基调吧。 先说好的、本片最感人心扉的并不是爱情而是亲情牌、演技在线的男主父亲和蔼慈祥，一个人撑起了家庭更撑起了整部戏的演技。对儿子无私的关爱、不想...

                         (展开)"
2402,很差,"故事的开始。。emmm习惯性的开场白。但是我却不记得故事的开始了。 这也算为我对这部影片的评价定下一个基调吧。 先说好的、本片最感人心扉的并不是爱情而是亲情牌、演技在线的男主父亲和蔼慈祥，一个人撑起了家庭更撑起了整部戏的演技。对儿子无私的关爱、不想给子女造成一点...

                         (展开)"
2403,推荐,"不知道刘若英是怎么把这个电影导演的这么接地气的，里面说的就是普通人的故事，包括对那种乖乖男（北京的）的看法，说心里话，我真觉得那胖胖的公务员挺牛的，女主要抓住机会早就翻身了。可是剧中乖乖男是被歧视的，我心里觉得不公平，可社会本就这样。也许有人说男女共处一室...

                         (展开)"
2404,很差,"这篇影评可能有剧透

                        本来想给2分，1分给井柏然颜值，另1分给里面的歌曲，毕竟烂片总会出神曲…… 但剧情实在让我受不了。只能打1分。 如果剧情也要分开打分，麻烦给我个负分，我一分也不想给。 以下评论不针对演员……只单纯针对我个人的观后感。 我非常客观的说，这部电影，整场看下来我get不到任...

                         (展开)"
2405,推荐,"如果多年以后，还时常回忆起过去的我们。是不是和当时一样，现在的我们依然不懂过好这一生。 作为一个80后，奶茶曾经是我们最最最知心的朋友，哪个少女不是听着她的歌曲治愈度过青春的？爱有几种，奶茶就帮我们诠释了多少种。在一起的，争吵过猜忌过最终却天长地久生儿育女过完...

                         (展开)"
2406,还行,"这篇影评可能有剧透

                        偶遇前女友畅谈人生，理想。回忆曾经的美好与痛苦。差点啪啪啪。至少精神出轨。这点没得洗。 电影无比娇柔做作的念台词，很尴尬。如果…我们…这样的排比句，缺乏台词的张力。 08年后是it和房地产最好的时期吧。男女主角理应活的更好。 男主内心上进，被现实打击的很自卑，沉迷...

                         (展开)"
2407,推荐,"这篇影评可能有剧透

                        也许，想要做到不负此生真的很难。 但，如果没有试过又怎么知道能不能做到。 最为一部文艺爱情故事片来说片子中仍有些许不足，但对于观看电影的我们来说，已经足够让我们感触到那得而又失，有着希望却又怎么努力都没办法成功的无奈，这种感情刘若英用她自己的方式向我们诉说着...

                         (展开)"
2408,推荐,"看完电影其实我有点难受 说不上来具体的点 但还是很多悲伤的感触 可能更多的是一种遗憾 遗憾电影里男女主后来没有了我们 走散了也丢了彼此 也遗憾自己曾经的青春 电影整体的调调我还是挺喜欢的 好几个细节处很戳我 虽然整体的剧情其实还是略散 不能细究 男女主后半小段的分离 ...

                         (展开)"
2409,还行,"最近的文艺片都在卖前任情怀，把这种心态发扬赚泪点好下流啊，对现任真的很不公平的说。 实名制批评前任三加这个后来的我们，当然的确是有可取的点，不足在于感情深刻本身不够有立足点，还有一些莫名其妙强行煽情的地方能看到模仿三的一些痕迹，当然不至于是烂片，可看的点也有...

                         (展开)"
2410,还行,"其实一直很期待刘若英这部电影，也一直很喜欢《后来》这首歌，歌词有一句：后来，我总算学会了爱。但是！！！！！在电影里，我没感觉到后来的他们学会了去爱。男主已成家立业，但是他还是爱着女主，那么是不是男主其实不会爱现任呢？（这只是我个人理解，不喜勿喷）电影把男主...

                         (展开)"
2411,力荐,"这篇影评可能有剧透

                        林见清就是小井，但是小井不是林见清，表白一下井柏然，真的太惊艳了，从一开场的电影，火车上回头的那一幕开始见清就爱上了小小，眼神里的一见钟情，闪闪发光，见清太爱小小了，爱到没有了自我，把小小的梦想实现成为了见清的梦想，他们搬到地下室的时候，小小一直盯着窗外的...

                         (展开)"
2412,力荐,"描述的都是我们这些老阿姨的年少啊，青春里会有的甜蜜，错过，和遗憾，那种我很后悔，但重来一次结果还是一样的悲凉。至于有的人说这个电影三观不正，我觉得这是因为每个人看的角度不一样吧，我看的是青春年少的经历，和无可奈何的那就这样。而有人觉得三观不正是因为你全程都...

                         (展开)"
2413,力荐,"“所谓三观不正 是因为你的青春里没有遇到这样的人。”微博 自己的朋友圈 很多人都在说 这部电影三观不正 结了婚的男人还要跟自己的前任 纠缠不清 其实不然 感情千千万万 这只是其中之一 不求你感同身受 也只愿你平常心看待。以前觉得看电影彩蛋都是拍摄花絮 只有这一部电影连...

                         (展开)"
2414,较差,"第一次遇到看到海报就特别想去看的电影！再加上对刘若英经典情怀的好感 很早之前就和朋友约好了这部电影！看之前也看了些评论 虽然不好居多 但仍抱有一丝希望！看了之后果然……特别特别失望。整个电影的剧情太无聊 那一段如果如果后来的我们会怎样怎样太尬且毫无意义！周冬雨...

                         (展开)"
2415,力荐,"先看了徐峥的新片，因为之前看的退票风波，还有过气明星当导演，这两点，实在让人很难有好的感官，但是徐峥那个片丝毫没给我惊喜，让我失望，反倒是这部，让我哭了好几次，也可以说是一直在哭。 看到很多短评，给个1星，说了刘若英唱个后来，都比这个电影好，就有三千多个点赞...

                         (展开)"
2416,还行,"也许期望太多，失望越大吧。只能说一般了。 其实演员演得还行，尤其是爸爸给小晓的那封信，莫名有点被戳中⋯可故事着实让人尴尬，总让人有些不知所云，到底想说清楚什么呢，莫非就是所谓的除了遗憾还是遗憾⋯可又有什么可遗憾的呢，也许有些人真的只是过客，甚至是成就你自...

                         (展开)"
2417,推荐,"这篇影评可能有剧透

                        整部电影最后的结局，让我只想到一句歌词，“我们一直忘了要搭一座桥，到对方心底瞧一瞧” ，她走的时候说，我们以后别再见面了，他却带着耳机什么也没听到，等到追去地铁站，却怂的一句挽留都没有。等到最后事业有成时说，你不是要房子吗，我在北京买房了，她说我要的是一个家...

                         (展开)"
2418,力荐,"这篇影评可能有剧透

                        父亲视力不好却不愿去看病，父亲不愿去住北京的大房子，父亲把见清后来的女朋友当作小晓，见清坐牢不能回家吃年夜饭父亲强颜欢笑的模样，老家年夜饭一年比一年冷清的时候，父亲最后写信给小晓的时候，说如果累了就回来吧，北漂的每一个人都不容易，更难熬的是北漂人的亲人，片...

                         (展开)"
2419,很差,"就为了给《后来的我们》写影评特地注册的账号，看电影到一半就想走，但是之前期望值太高，死活耗到结尾。整部电影看下来，真的不知道说了什么，想要表达什么。就是卖弄这几年流行的前任情怀吧。采取现在和回忆相结合的方式真的太烂了！如果按时间顺序一直发展可能会好一点，首...

                         (展开)"
2420,较差,"骗谁呢，明明就是北漂爱情故事。 1.并不能get到那些所谓的泪点，从始至终没被打动过，内心毫无波澜甚至想吃大桶爆米花。 2.田壮壮刻画出的亲情都远比剧中的爱情细腻动人，建议更名《后来的我们都成了空巢老人》。 3.有些人说三观比《前任3》还歪，那还真是严重冤枉刘若英了。前...

                         (展开)"
2421,还行,"这篇影评可能有剧透

                        第一次让我流泪的是小晓展开林父的信的时候，触动我的是那深沉的父爱。一年又一年，从一桌人的年夜饭到一个人的跨年，电话中彼此都是善意的谎言，挂了电话满是寂寥。 第二次流泪是第一个彩蛋，看到一个女孩哭着写下又笑着举起牌子。是的，虽然你是一个疤，当初再疼，但是都过去...

                         (展开)"
2422,推荐,"这篇影评可能有剧透

                        我觉得电影要是停在小晓和见清第一次的时候就好了，而且觉得井柏然和周冬雨演得特好，能表现那种爱了很久的朋友最终变成恋人的感觉。之前还在纠结为什么回到现实的画面是黑白的后来才发现见清在设计游戏时小晓问见清说，要是凯利和伊恩不在一起了怎么办呢，见清说这样的话他们...

                         (展开)"
2423,推荐,"说像PPT的是恶意刷分吧！也许剧情是不够精彩，但平凡的我们真的有许多错过的人和物……最后爸爸的信戳中泪点，我怎么没碰到如此大义的人呢，都是些只爱自己孩子的人，不过她们也没错……以前很多人说我跟你不是为了钱，现在只为钱跟人的人很多，呵呵😄面包（现在可以改为包包...

                         (展开)"
2424,力荐,"电影《后来的我们》，我只是想尽量客观地谈谈它。 现在网络上好评很多，差评也很多。 《后来的我们》显然不符合流水线式的美国好莱坞英雄电影，它的故事主线也许看起来可能就不像是故事，这不是传统的叙事结构。 没有悬念，结局一开始就告诉观众了。 没有跌宕起伏的剧情，全是...

                         (展开)"
2425,很差,"我喜欢刘若英，   我觉得每个那个岁数的人都喜欢刘若英。   粉红女郎里的龅牙傻妞，    天下无贼里的江洋大盗，    后来，  为爱痴狂，  甚至她的外号都是那么的让人温暖。 这些都是回忆，   也就是人们说的情怀。 她用后来的这首歌的情怀来拍个电影，   挣点钱，   我们买票。...

                         (展开)"
2426,还行,"这篇影评可能有剧透

                        冲着周冬雨去看的，原本以为是青春小清新电影，没想到原来这么虐心。眼泪几次几乎夺眶而出（当然它们没有得逞）。 一开始大雪里的火车画面很喜欢，周冬雨也一如既往的“不食人间烟火”脸和井柏然的暖暖小青年形象；小晓在筒子楼里答邻居问，心领神会的get到她还是那个和安生类...

                         (展开)"
2427,较差,"不想多说的，一直对奶茶阿姨没有太大的好感更不是粉，纯路人。一直不明白为什么她在大陆的形象这么好，可能也跟和她一样是台湾演员那样一直低调有关，可能墙内墙外他们只给了我们想看到的包装了让我们能够奉之为偶像的东西。毕竟两岸三地消息不通，某女星在台声称在台做理想大...

                         (展开)"
2428,力荐,"看完电影《后来的我们》，去网上搜索，有很多人觉得感动，有很多人觉得拍的一般。有人看完电影回忆起自己的前任，想起自己错过的那个他（她），就像电影里小晓说的：“Imissyou”。 而我和大家感触不同的是，我是被林爸爸感动了，电影外，是他那经过岁月沉淀的演技；电影里，是...

                         (展开)"
2429,推荐,"这始终不是《后来》的后续，故事因为光影和白雪一直温暖，刘小姐的选角甚是成功，一辈子也要将文艺进行到底，不管四十还是八十，写字唱歌演戏，刘小姐都做得恰到好处。只是最后一幕见清蒸粘豆包听老婆絮叨在孩子面前流泪的情节还是略显俗套。其实最后，小晓就是小晓，见清也依...

                         (展开)"
2430,推荐,"我很喜欢 她们都说矫情 可在生活中不矫情的永远只是少数人 在林见清接到那则视频通话后我就知道小晓和他已经没有可能了 因为没有可能所以会那么的感伤 很喜欢片尾父亲给小晓写的那封信 在父亲的心里小晓已经是他的家人 但他们都知道回不去了 有人说林见清和她老婆之间没有爱我...

                         (展开)"
2431,推荐,"看的很大一部分其实是一个情怀吧，对过往的一种情怀。故事把背景设置在北京，卖的很大程度就是一个北漂人的情怀。影片花了大量的时间来渲染了空间狭小破旧不堪混乱吵杂的生活环境，我们都能从中看到之前自己不如意时在夹缝之中挣扎求生的那种艰辛吧。清见和小晓最后的那种冲突...

                         (展开)"
2432,力荐,"老少通吃的电影，感受熨帖踏实又细腻温情/ 行走在年轻之中一无所有却仿佛拥有一切，看它揭开未来生活的一种可能性/ 一秒入戏，节奏舒服，周冬雨前一秒笑后一秒流泪真的被打动到，井柏然拉开了和一众流量小生的演技差距，专注游戏的样子好像明凯嘻嘻嘻/ 北京作为象征意义早已大...

                         (展开)"
2433,还行,"花栗鼠听说这个世界有落叶掠过。 它闪烁着满眼的期待，用尽全力掘向那片熟悉又陌生的地面。 它破土而出，眼前没有山川，没有海湖，只是一片接近窒息的荒芜。 它走啊走，走啊走，好远好远，终于碰见了一颗突兀的大树。 “大树大树，我在哪里能找到落叶呢？” 大树骄傲地扬起枯枝...

                         (展开)"
2434,推荐,"1999年11月1日唱着后来，大街小巷里面的传唱。还是简单朴素，却总能打动人心。诚如，永远年轻，永远热泪盈眶。泪点在最后彩蛋，大合唱后来。成熟就是，发现越来越多的即使在怎么努力也做不到的事儿。我会想起你，但是，不是黑白。是春风，是月光，是美食，是情不自禁的笑！人啊...

                         (展开)"
2435,力荐,"爱了就在一起。 分手了也不代表不爱。 只是爱情禁不起现实里的伤害。 只是你以为你想给我的，是我想要的。 矫情吗？矫情。 现实吗？还真的可能是现实。 小晓爱的大胆、热烈。 她活得明白，知道什么是重要的，什么是需要维护的，什么是可以放弃的。 十多年北漂，最终，她也还是...

                         (展开)"
2436,还行,"一开始他们的爱是很纯粹的  他们觉得爱就是你对我好，我也对你好，我们在一起很幸福，很开心。后来他们的爱变得不一样了，他们开始觉得爱是一种责任，是一个家。 一开始小晓就喜欢有房子的，条件好的，清很不理解，到了后来，清有了钱，他做的第一件事就是给小晓还有爸爸买房子...

                         (展开)"
2437,还行,"这篇影评可能有剧透

                        我发现周冬雨几部电影的人设有点相近，傻乐+苦情，但好像也渐渐地成为了她的一种风格。 我是一个没有什么故事的人。反而触动心弦的是电影末尾那段，见清爸爸给小晓写的信，读得我很泪目。再也没有粘豆包在除夕夜等着见清和小晓了。小小的故乡已经再也留不住他们了。其实父母才...

                         (展开)"
2438,较差,"最大的感觉就是没有在这个老话题上探讨出新的东西 或者说以一种陈旧的方式探讨了一个陈旧的问题 把它和前任3拉开差距的还是创作阵容 但是也是握着一手好资源却发挥出了低于期望的水平 而且电影对爱情的讨论 打动人还是要看故事 故事有明显硬伤 二人矛盾的铺陈过于简单 剧情上有...

                         (展开)"
2439,力荐,"看得我难受的紧 可能故事背景发生在北京 当我们还懵懂无知 一头扎进这座城市 我们有梦想  有憧憬  曾经有过爱情 当我们与现实碰撞 渐行渐远的梦想  渐行渐远的人 从来没有如果当初 如果没有如果   却没有了我们 晓小说：如果伊恩始终找不到凯莉怎么办 见清说：那他的世界再没有...

                         (展开)"
2440,推荐,"这篇影评可能有剧透

                        #后来的我们# 这部我期盼了一个多月的电影终于上映了。 看完之后，觉得，很心酸。但没有感同身受。 首先，在北漂之后回家的列车上，见清和小晓相遇了。两个人打打闹闹，互相表明心意，在一起了。然而……故事才真正开始。 “离开你之后，我的世界就是黑白色。”回忆是美好的，...

                         (展开)"
2441,较差,"这篇影评可能有剧透

                        人总是这样的犯贱跟矫情，失去的才懂得珍惜，然后有了这样那样的遗憾跟追悔莫及。于是，后来的我们，电影终究是出卖了情怀，在这个潮湿的季节骗取眼泪一片，给2星吧，一分给林爸爸的信，一分给周冬雨。 我没哭，也没有眼泪，只是奶茶这部青春片多多少少让我很失望，但依然不妨...

                         (展开)"
2442,力荐,"最美好的时光都是和你在一起 最好的我们却错过了彼此 当明白爱情的真谛时 却没有了让我们爱的人 后来的我们 都已经变成了想要的样子 知道了想要的是什么 却无人能分享 小晓说过 “幸福不是故事 不幸才是” 度过了不幸 才能明白想要的幸福 也许 现在的我无法懂得他们的刻骨铭心 ...

                         (展开)"
2443,很差,"真的浪费票钱，冲着井柏然和周冬雨多年青春片好评口碑去看的。本来想看看青春的感觉，没想到看了一部大型春运纪录片。完全没懂明明一部青春片，我的泪点居然在于守家的老人。。情节过于碎片化，从2008-2018一年又一年的回家，说真的看着很烦。。这是我看过的第二烂青春片，匆匆...

                         (展开)"
2444,很差,"这篇影评可能有剧透

                        果然不出所料，讲述了两个不足够相爱的人，分手了还要立牌坊的故事。【以下包含剧透】 大学生男主在火车上偶遇京漂打工仔女主，一见钟情“哇这个女生居然抽烟、喝酒、打牌、说脏话，好特别哦！” （大哥，您是从小到大光顾着学习了，没见过小太妹吗？） 女主的人设一开始是物质...

                         (展开)"
2445,推荐,"这篇影评可能有剧透

                        见清父亲给小晓写信的时候，叔叔坐在炉边，叔叔在做粘豆包，叔叔在想你，那种爱伟大，无私，不求回报。小晓收到信后开始世界变得有色彩，开始放下过去，放过自己，因为这种❤️才是永远的，超越爱情，小晓爸爸去世了，叔叔对她就像自己孩子一样，无关他和见清结局怎样。现...

                         (展开)"
2446,还行,"电影还凑合，故事有点单薄，感觉更像歌曲mv而不是电影，但是喜欢《后来》，喜欢刘若英，也喜欢周冬雨的表演，所以电影票也算值了，只是对故事男女主角的结局不太满意。方小晓从开始到结束一直是对自己生活有明确认知的人，喜欢上林见清之前，目的很明确，嫁个北京人，留在北京...

                         (展开)"
2447,还行,"刚开始的哭泣可能是为自己又一次逝去的勇气和金钱而哭，无法在hk见到mayday，听到拥抱潸然泪下。 田壮壮的父亲角色太让人心酸。 爱情故事里，后期两个人的作与不沟通都让我有点无法接受。。。能好好说的事情为什么要赌气。。。 如果我的丈夫这么爱前女友实在是太伤人了。。 还...

                         (展开)"
2448,推荐,"怎么说呢 这部片子应该是没有相同经历的人就看不到某一个点 因为我是跟男朋友看的 我们之间发生很多问题 彼此说再尝试在一起两个月作为感情的句点 也就是死气白赖的拖着 干脆利落固然很酷炫 可那么多的无可奈何和不舍旁人又怎么会知晓 剧情我边看边哭 真的很戳心 每一个遗憾的...

                         (展开)"
2449,力荐,"这篇影评可能有剧透

                        相对于北漂的残酷，我觉得能在如此狭小的房间里产生爱情，真的是挺不易的。这是两个年轻人的殊途同归。北京，那是最好的城市，也是最坏的城市。每个人的都从仰望它开始的。我们听过也看过太多雷同的北漂故事，无一例外都是各种搬家各种换工，最后到了实在撑不住了，有些人就选...

                         (展开)"
2450,力荐,"这篇影评可能有剧透

                        相对于北漂的残酷，我觉得能在如此狭小的房间里产生爱情，真的是挺不易的。这是两个年轻人的殊途同归。北京，那是最好的城市，也是最坏的城市。每个人的都从仰望它开始的。我们听过也看过太多雷同的北漂故事，无一例外都是各种搬家各种换工，最后到了实在撑不住了，有些人就选...

                         (展开)"
2451,很差,"恋爱 分手 错过 重逢。 国产剧标配一样没落下[微笑] 卖情怀又无病呻吟， 能不能放过“北京”啊。 荤段子挺搞笑 男主女主误火车相识，误飞机重逢。 不是很懂已婚男偶遇前任住一间房回忆过去的三观。 井柏然颜值还是很能打的，周冬雨的叛逆少女人设已经看腻了。 《后来》还是很好...

                         (展开)"
2452,力荐,"这篇影评可能有剧透

                        影片的色彩处理与常理略有不同，2017年前的过往是彩色的，2017年的相逢却是黑白，基本已经预示了影片的结局。黑白并不意味着悲剧，不过是成年世界中梦想慢慢褪色，慢慢向现实妥协的标志。 正如片中林见清所说：“幸福不是故事，不幸才是。”方小晓与林见清的不告而别，林见清的...

                         (展开)"
2453,推荐,"1）林给方搬家的那个情节里，大包小包，他们两累的满脸通红的样子。 我没在帝都上班，是在西安。家不在市区，上班后我一共搬了四次房子。前三次都是前任给搬得。场景一模一样。看时眼泪模糊。 2）林和方好上时，方把整个头埋在林胸口时的样子。 我摩羯座，本有些木讷，但在喜欢...

                         (展开)"
2454,还行,"这篇影评可能有剧透

                        因为很喜欢五月天唱的影片同名曲，所以特地去电影院看了这部电影，怎么说呢，也就是还行的程度，不难看，但是也没有好看到哪里去。 我是一个泪点极低的人，电影里面的确有几处让我忍不住哭了，一个是小晓读见清爸爸的信那里我的眼泪真的不受控制的流，一个是见清和小晓过年的同...

                         (展开)"
2455,较差,"这篇影评可能有剧透

                        1  一个有妇之夫和记忆深刻的前女友回忆往事，编剧的脑子喂狗了吗？想过妻子的感受吗？ 2  要一个孩子对着自己的父亲，爹地我要看左边，看右边，看上边，看厕所，嗯很优秀。 3  女方明明对男孩子有意思，也知道男孩子对自己有意思，还找其他的对象就算了，还特地告诉男孩子，难...

                         (展开)"
2456,力荐,"很久没有被这类的片子 这么感动过了。 因为奶茶 开机时就有关注过这部电影 今天和朋友去看了 最后的时候完全哭成狗 故事娓娓道来 很现实 就像在身边一样 黑白与彩色的交织 让人更好的理解故事 也与内容相映衬。 关于演员 周冬雨和井柏然 我觉得算是这个年龄段里非常有实力的两...

                         (展开)"
2457,还行,"已经好久不看青春片了，挑电影的时候总是先跳过青春片，昨天上映的《后来的我们》是错买的票。 主角们演技都在线，甚至演的有些妙，就连小平房施予斐演的长发女表现的也非常细腻了。场都坐满了，到林夫的信一念出，便有了窸窸窣窣的抽泣声。我鼻酸一会就停住了，倒不是见清和小...

                         (展开)"
2458,推荐,"这篇影评可能有剧透

                        后来我的想法发生一些变化，把更新的想法放在了讨论区：https://movie.douban.com/subject/26683723/discussion/615557917/#21029513 -------------------------------------------------- 我忽然想起了一句很老的话，这是最好的时代，这也是最坏的时代。在时代生活的缝隙里踌...

                         (展开)"
2459,还行,"十年天地干戈老，但珍藏在心底的那份深情无论积灰多么厚重只须点点微风就能使他恍若昨日般的呈现在眼前。随着年岁的增长大家都慢慢的成为了有故事的少年、青年，虽然影片对“故事”一词的解读略带伤感，但笔者认为世事就是这样的—多少雪中送炭在人们的脑海中历久弥新，只有经...

                         (展开)"
2460,还行,"客观评价：是一部很有诚意的电影，但不是一部好的电影。 周的演技很好，但是井柏然还是有很大的空间需要提升。既然是两个人的故事，所以一个人的演技撑不起来。 虽然是要表达一个悲伤的故事，但是不实实在在的靠剧情，而是靠过多的背景音乐和拍摄手法让观众感到压抑，这种方式...

                         (展开)"
2461,较差,"这篇影评可能有剧透

                        我才不管我娶了谁我肩上有没有责任我就是要义无反顾和女主分分合合的渣男男主+我心里有什么事就是不说逼死直男癌男主我想走就走想回就回我就是这么随意的作死能手女主＝这是个加长版的MV，一丝泪点都没有给我，一个片段和一个片段的携接巨生硬，连起来的PPT还让我期望那么高！...

                         (展开)"
2462,很差,"这电影我不知道说什么，感觉没有什么剧情，很平；这都算了大不了在电影院睡一觉，反正同场也没几个人。 但是这个剧情三观真的膈应人，男主一个已婚人士有老婆孩子拉着女主开房回忆过去，还差点差枪走火。也算吸取教训了，以后这种卖情怀的片子还是离远点。 最搞笑的是戏外可比...

                         (展开)"
2463,还行,"这篇影评可能有剧透

                        这个电影的问题有很多 演员的演技我觉得都很不错 剧情台词就有点矫揉造作 为什么最后男主有老婆孩子还是舍不得前任 一直说着如果怎样如果怎样 他们的结局会不会不一样  这就不是一个有责任心的男人应该说的话啊 就算之前刻骨铭心的爱过 那有怎么样呢? 最后的正式说再见是我觉得...

                         (展开)"
2464,还行,"这篇影评可能有剧透

                        有些小失望，毕竟觉得刘若英还算是娱乐圈少有的略富才情的人，果然会写书不等于会拍电影啊。还是没从张嘉佳身上吸取教训。电影里的北京被塑造得肮脏冰冷又逼仄，让人觉得无法喘息，每一次看井柏然碰壁我都会打一个寒颤，生怕他会爆发，而事实上，他也确实一直在爆发。我不明白...

                         (展开)"
2465,推荐,"一个，大太阳的下午，非要去看刘奶茶电影的妹妹;一个，路痴，还在前面走得飞快带路的妹妹。一个，电影完了，在片尾吐槽为什么感谢栏里没有写他们家田馥甄的名字，她可是唱了插曲的弟弟;一个，人还没回来就疯狂宣传自己瘦了10斤的，见面并没觉得有半两差别的弟弟。既然已经纠缠...

                         (展开)"
